x,y
524.372000,5.8E2
525.411000,4.3E2
526.460000,3.5E2
527.500000,2.8E2
528.549000,2.3E2
529.589000,2E2
530.628000,1.6E2
531.678000,1.4E2
532.727000,1.1E2
533.767000,9.7E1
534.816000,8.6E1
535.855000,7.2E1
536.909000,6.4E1
537.954000,5.7E1
538.994000,4.9E1
540.033000,4.4E1
541.073000,3.9E1
542.122000,3.5E1
543.162000,3.1E1
544.201000,2.8E1
545.241000,2.4E1
546.290000,2.1E1
547.340000,1.9E1
548.379000,1.7E1
549.428000,1.5E1
550.468000,1.3E1
551.517000,1.2E1
552.557000,1E1
553.606000,9.2E0
554.656000,8.3E0
555.695000,7.2E0
556.744000,6.4E0
557.794000,5.8E0
558.843000,5E0
559.883000,4.4E0
560.922000,3.8E0
561.962000,3.2E0
563.001000,2.8E0
564.041000,2.2E0
565.080000,1.79E0
566.119000,1.32E0
567.159000,9E-1
568.198000,5.07E-1
569.238000,1.88E-1
570.277000,4.56E-2
571.317000,2.16E-2
572.356000,1.5E-2
573.396000,1.23E-2
574.435000,1.1E-2
575.475000,1.02E-2
576.514000,9.6E-3
577.553000,9.1E-3
578.593000,8.7E-3
579.632000,8.3E-3
580.672000,7.9E-3
581.711000,7.4E-3
582.751000,7E-3
583.790000,6.6E-3
584.830000,6.3E-3
585.869000,5.9E-3
586.908000,5.6E-3
587.948000,5.3E-3
588.987000,5E-3
590.027000,4.8E-3
591.066000,4.6E-3
592.106000,4.4E-3
593.145000,4.2E-3
594.185000,4.1E-3
595.224000,3.9E-3
596.263000,3.8E-3
597.303000,3.6E-3
598.342000,3.6E-3
599.382000,3.5E-3
600.421000,3.3E-3
601.461000,3.3E-3
602.500000,3.2E-3
603.539000,3.1E-3
604.579000,3E-3
605.618000,3E-3
606.658000,2.9E-3
607.707000,2.8E-3
608.757000,2.8E-3
609.796000,2.7E-3
610.833000,2.6E-3
611.873000,2.6E-3
612.922000,2.6E-3
613.962000,2.5E-3
615.011000,2.5E-3
616.050000,2.4E-3
617.100000,2.4E-3
618.139000,2.3E-3
619.189000,2.3E-3
620.238000,2.3E-3
621.278000,2.2E-3
622.317000,2.2E-3
623.357000,2.2E-3
624.406000,2.2E-3
625.455000,2.1E-3
626.495000,2.1E-3
627.534000,2E-3
628.584000,2E-3
629.623000,2E-3
630.673000,2E-3
631.722000,1.9E-3
632.762000,1.9E-3
633.801000,1.9E-3
634.850000,1.9E-3
635.890000,1.8E-3
636.929000,1.8E-3
637.969000,1.8E-3
639.018000,1.8E-3
640.067000,1.8E-3
641.107000,1.7E-3
642.146000,1.7E-3
643.196000,1.7E-3
644.235000,1.7E-3
645.285000,1.7E-3
646.324000,1.7E-3
647.373000,1.7E-3
648.413000,1.7E-3
649.462000,1.6E-3
650.502000,1.6E-3
651.551000,1.6E-3
652.601000,1.6E-3
653.640000,1.6E-3
654.679000,1.6E-3
655.729000,1.6E-3
656.779000,1.5E-3
657.818000,1.5E-3
658.857000,1.5E-3
659.897000,1.5E-3
660.936000,1.5E-3
661.976000,1.5E-3
663.015000,1.5E-3
664.055000,1.4E-3
665.094000,1.4E-3
666.134000,1.4E-3
667.173000,1.4E-3
668.212000,1.3E-3
669.252000,1.4E-3
670.291000,1.4E-3
671.331000,1.4E-3
672.370000,1.3E-3
673.410000,1.3E-3
674.449000,1.3E-3
675.489000,1.3E-3
676.528000,1.3E-3
677.567000,1.3E-3
678.617000,1.3E-3
679.656000,1.3E-3
680.696000,1.3E-3
681.735000,1.3E-3
682.775000,1.3E-3
683.814000,1.3E-3
684.854000,1.2E-3
685.893000,1.2E-3
686.932000,1.2E-3
687.972000,1.2E-3
689.011000,1.2E-3
690.051000,1.2E-3
691.090000,1.2E-3
692.140000,1.2E-3
693.179000,1.1E-3
694.219000,1.2E-3
695.258000,1.2E-3
696.297000,1.2E-3
697.337000,1.2E-3
698.376000,1.2E-3
699.416000,1.1E-3
700.455000,1.1E-3
701.505000,1.1E-3
702.544000,1.1E-3
703.584000,1.1E-3
704.623000,1.1E-3
705.672000,1.1E-3
706.712000,1.1E-3
707.751000,1.1E-3
708.801000,1.1E-3
