time	temp_1	temp_2	temp_3	temp_4	temp_5	temp_6	temp_7	temp_8	temp_9	temp_10	temp_11	temp_12	temp_13	temp_14
25.57	27.94	28.31	28.00	28.37	28.37	28.37	28.31	28.69	27.75	27.25	27.69	27.81	28.31	27.50
28.24	27.94	28.31	28.00	28.31	28.37	28.37	28.31	28.69	27.75	27.25	27.69	27.81	28.31	27.50
28.90	27.94	28.31	28.00	28.31	28.44	28.31	28.31	28.62	27.69	27.25	27.75	27.81	28.31	27.50
29.56	27.94	28.31	27.94	28.37	28.44	28.37	28.31	28.62	27.75	27.25	27.75	27.81	28.31	27.50
30.23	27.94	28.31	27.94	28.37	28.44	28.37	28.31	28.62	27.75	27.25	27.69	27.87	28.31	27.50
30.87	27.94	28.31	28.00	28.37	28.44	28.37	28.31	28.62	27.69	27.25	27.75	27.81	28.31	27.50
31.55	27.94	28.31	27.94	28.37	28.44	28.37	28.31	28.62	27.75	27.25	27.75	27.81	28.31	27.50
32.21	27.94	28.31	28.00	28.37	28.44	28.37	28.31	28.62	27.75	27.25	27.75	27.81	28.31	27.50
32.88	27.94	28.31	27.94	28.37	28.44	28.37	28.31	28.62	27.75	27.25	27.69	27.81	28.31	27.50
33.55	27.94	28.31	28.00	28.37	28.44	28.37	28.31	28.69	27.69	27.25	27.75	27.81	28.31	27.50
34.20	27.94	28.31	27.94	28.37	28.44	28.37	28.31	28.62	27.75	27.25	27.75	27.81	28.31	27.50
34.87	27.94	28.31	27.94	28.37	28.44	28.37	28.31	28.62	27.75	27.25	27.69	27.81	28.31	27.50
35.53	27.94	28.31	27.94	28.37	28.44	28.37	28.31	28.62	27.75	27.25	27.75	27.81	28.31	27.50
36.19	27.94	28.31	28.00	28.37	28.44	28.37	28.31	28.62	27.81	27.25	27.75	27.81	28.37	27.50
36.86	27.94	28.25	28.00	28.37	28.44	28.37	28.31	28.62	27.69	27.25	27.75	27.81	28.31	27.50
37.50	27.94	28.31	28.00	28.37	28.44	28.37	28.31	28.62	27.75	27.25	27.69	27.81	28.31	27.50
38.19	27.94	28.31	28.00	28.31	28.44	28.37	28.31	28.62	27.75	27.25	27.75	27.81	28.31	27.50
38.84	27.94	28.31	27.94	28.31	28.44	28.37	28.25	28.62	27.75	27.25	27.69	27.81	28.31	27.50
39.49	27.94	28.31	28.00	28.31	28.44	28.37	28.31	28.62	27.69	27.25	27.75	27.81	28.31	27.50
40.16	27.94	28.31	28.00	28.37	28.44	28.44	28.31	28.62	27.81	27.25	27.69	27.81	28.31	27.50
40.82	27.94	28.31	27.94	28.37	28.44	28.37	28.31	28.62	27.75	27.25	27.75	27.81	28.31	27.50
41.50	27.94	28.31	28.00	28.31	28.44	28.37	28.31	28.62	27.75	27.25	27.75	27.81	28.31	27.50
42.16	27.94	28.31	28.00	28.31	28.44	28.37	28.31	28.62	27.81	27.25	27.75	27.87	28.31	27.50
42.79	27.94	28.31	28.00	28.31	28.44	28.37	28.31	28.69	27.75	27.25	27.69	27.81	28.31	27.50
43.49	27.94	28.31	28.00	28.31	28.44	28.37	28.25	28.62	27.75	27.25	27.69	27.87	28.31	27.50
44.15	27.94	28.31	27.94	28.31	28.44	28.37	28.31	28.62	27.69	27.25	27.75	27.87	28.31	27.50
44.80	27.94	28.31	27.94	28.37	28.44	28.37	28.31	28.62	27.75	27.25	27.75	27.87	28.31	27.50
45.48	27.94	28.25	27.94	28.37	28.37	28.37	28.25	28.62	27.81	27.25	27.75	27.87	28.31	27.50
46.14	27.94	28.31	27.94	28.37	28.44	28.37	28.31	28.69	27.75	27.25	27.75	27.81	28.31	27.50
46.78	27.94	28.31	27.94	28.31	28.44	28.37	28.25	28.62	27.75	27.25	27.75	27.81	28.31	27.50
47.47	27.94	28.31	27.94	28.31	28.44	28.37	28.31	28.62	27.75	27.31	27.75	27.81	28.31	27.50
48.11	27.94	28.31	27.94	28.31	28.44	28.37	28.25	28.62	27.75	27.25	27.75	27.87	28.37	27.50
48.78	27.94	28.31	27.94	28.31	28.37	28.37	28.31	28.69	27.75	27.25	27.75	27.81	28.31	27.50
49.45	27.94	28.31	28.00	28.31	28.44	28.37	28.31	28.69	27.75	27.25	27.75	27.87	28.37	27.50
50.11	27.94	28.31	27.94	28.31	28.44	28.37	28.31	28.62	27.69	27.25	27.75	27.87	28.31	27.50
50.77	27.94	28.31	28.00	28.31	28.44	28.37	28.31	28.62	27.75	27.31	27.75	27.81	28.31	27.50
51.45	27.94	28.31	27.94	28.31	28.44	28.37	28.31	28.69	27.75	27.25	27.75	27.81	28.37	27.50
52.08	27.94	28.31	27.94	28.37	28.37	28.37	28.25	28.62	27.75	27.31	27.75	27.81	28.31	27.50
52.77	27.94	28.31	27.94	28.37	28.37	28.37	28.31	28.62	27.75	27.31	27.69	27.87	28.31	27.50
53.44	27.94	28.31	27.94	28.37	28.37	28.37	28.31	28.62	27.75	27.31	27.75	27.81	28.31	27.50
54.10	27.94	28.31	27.94	28.37	28.37	28.37	28.25	28.69	27.75	27.31	27.75	27.87	28.31	27.50
54.75	27.94	28.31	27.94	28.31	28.37	28.37	28.25	28.62	27.75	27.25	27.75	27.87	28.37	27.50
55.40	27.94	28.31	28.00	28.31	28.37	28.37	28.31	28.62	27.75	27.25	27.75	27.81	28.37	27.50
56.07	27.94	28.31	28.00	28.31	28.44	28.37	28.31	28.62	27.75	27.31	27.75	27.81	28.37	27.50
56.76	27.94	28.31	27.94	28.37	28.44	28.37	28.25	28.62	27.75	27.31	27.75	27.81	28.37	27.50
57.40	27.94	28.31	28.00	28.31	28.37	28.37	28.31	28.62	27.75	27.31	27.75	27.81	28.37	27.50
58.06	27.94	28.31	28.00	28.37	28.44	28.37	28.25	28.62	27.75	27.31	27.69	27.87	28.37	27.50
58.74	27.94	28.31	27.94	28.37	28.44	28.37	28.31	28.62	27.75	27.25	27.75	27.81	28.37	27.50
59.39	27.94	28.31	28.00	28.31	28.37	28.37	28.25	28.69	27.75	27.25	27.75	27.81	28.37	27.50
60.05	27.94	28.31	27.94	28.31	28.44	28.37	28.31	28.69	27.75	27.25	27.75	27.81	28.31	27.50
60.73	27.94	28.31	28.00	28.31	28.44	28.37	28.25	28.62	27.69	27.25	27.75	27.81	28.37	27.50
61.37	27.94	28.31	27.94	28.31	28.44	28.37	28.31	28.69	27.75	27.25	27.75	27.81	28.31	27.50
62.05	27.94	28.31	27.94	28.37	28.44	28.37	28.31	28.69	27.69	27.25	27.75	27.81	28.37	27.50
62.71	27.94	28.31	28.00	28.31	28.37	28.37	28.31	28.62	27.75	27.31	27.69	27.81	28.37	27.50
63.37	27.94	28.31	27.94	28.37	28.44	28.37	28.31	28.62	27.75	27.25	27.75	27.81	28.37	27.50
64.03	27.94	28.31	27.94	28.31	28.37	28.37	28.31	28.62	27.75	27.25	27.75	27.81	28.31	27.50
64.72	27.94	28.25	28.00	28.31	28.37	28.37	28.25	28.62	27.69	27.25	27.75	27.81	28.37	27.50
65.37	27.94	28.25	27.94	28.37	28.37	28.37	28.31	28.62	27.75	27.25	27.75	27.81	28.31	27.50
66.02	27.94	28.31	27.94	28.37	28.37	28.37	28.31	28.62	27.75	27.25	27.75	27.81	28.31	27.50
66.71	27.94	28.31	27.94	28.37	28.37	28.37	28.31	28.62	27.75	27.25	27.75	27.87	28.31	27.50
67.36	27.94	28.31	28.00	28.37	28.44	28.37	28.31	28.62	27.75	27.25	27.75	27.81	28.37	27.50
68.01	27.94	28.31	27.94	28.37	28.44	28.37	28.31	28.69	27.69	27.25	27.75	27.81	28.31	27.50
68.69	27.94	28.31	27.94	28.37	28.37	28.37	28.31	28.69	27.75	27.25	27.75	27.87	28.37	27.50
69.35	27.94	28.31	27.94	28.37	28.44	28.37	28.31	28.62	27.69	27.25	27.75	27.87	28.37	27.50
69.99	27.94	28.31	27.94	28.37	28.44	28.37	28.31	28.62	27.75	27.31	27.75	27.81	28.37	27.50
70.66	27.94	28.25	28.00	28.37	28.37	28.37	28.31	28.62	27.75	27.25	27.75	27.81	28.37	27.50
71.32	27.94	28.31	28.00	28.37	28.44	28.37	28.25	28.62	27.69	27.25	27.75	27.87	28.31	27.50
71.99	27.94	28.31	27.94	28.31	28.37	28.37	28.25	28.69	27.75	27.31	27.69	27.81	28.37	27.50
72.65	27.94	28.31	28.00	28.37	28.37	28.31	28.31	28.62	27.75	27.31	27.75	27.81	28.37	27.50
