time	temp_1	temp_2	temp_3	temp_4	temp_5	temp_6	temp_7	temp_8	temp_9	temp_10	temp_11	temp_12	temp_13	temp_14
21.58	26.81	26.31	26.00	26.12	26.50	26.37	26.19	26.37	26.31	26.62	26.44	26.25	26.31	26.44
23.97	26.81	26.31	26.00	26.12	26.44	26.31	26.19	26.31	26.31	26.56	26.37	26.25	26.25	26.37
24.64	26.81	26.31	26.00	26.12	26.44	26.31	26.19	26.37	26.31	26.56	26.44	26.25	26.25	26.44
25.35	26.81	26.31	26.00	26.12	26.44	26.31	26.19	26.37	26.31	26.56	26.44	26.25	26.25	26.44
26.16	26.81	26.31	26.00	26.12	26.44	26.37	26.19	26.37	26.31	26.56	26.44	26.25	26.25	26.44
26.99	26.81	26.31	26.00	26.12	26.44	26.31	26.19	26.37	26.31	26.56	26.44	26.25	26.31	26.44
27.85	26.81	26.31	26.00	26.12	26.44	26.31	26.19	26.37	26.31	26.56	26.44	26.25	26.31	26.44
28.66	26.81	26.31	26.00	26.12	26.50	26.37	26.19	26.37	26.31	26.56	26.44	26.25	26.31	26.44
29.40	26.81	26.31	26.00	26.12	26.50	26.37	26.19	26.37	26.31	26.56	26.44	26.25	26.31	26.44
30.21	26.81	26.31	26.00	26.12	26.50	26.37	26.19	26.37	26.31	26.56	26.44	26.25	26.31	26.44
31.03	26.81	26.31	26.00	26.12	26.50	26.37	26.19	26.37	26.31	26.56	26.44	26.25	26.31	26.44
31.84	26.81	26.31	26.00	26.12	26.50	26.37	26.19	26.37	26.31	26.62	26.44	26.25	26.31	26.44
32.75	26.81	26.31	26.00	26.12	26.44	26.37	26.19	26.37	26.31	26.56	26.44	26.25	26.31	26.44
33.56	26.81	26.31	26.00	26.12	26.50	26.37	26.19	26.37	26.31	26.56	26.44	26.25	26.31	26.44
34.28	26.81	26.31	26.00	26.12	26.50	26.37	26.19	26.37	26.31	26.56	26.44	26.25	26.31	26.44
35.10	26.81	26.31	26.00	26.12	26.50	26.37	26.19	26.37	26.31	26.56	26.44	26.25	26.31	26.44
35.91	26.81	26.31	26.00	26.12	26.50	26.37	26.19	26.37	26.31	26.56	26.44	26.25	26.31	26.44
36.73	26.81	26.31	26.00	26.12	26.50	26.31	26.19	26.37	26.31	26.56	26.44	26.25	26.31	26.44
37.67	26.81	26.31	26.00	26.12	26.50	26.37	26.19	26.37	26.31	26.56	26.44	26.25	26.31	26.44
38.36	26.81	26.31	26.00	26.12	26.50	26.37	26.19	26.37	26.31	26.62	26.44	26.25	26.31	26.44
39.26	26.81	26.31	26.00	26.12	26.50	26.37	26.19	26.37	26.31	26.56	26.44	26.25	26.31	26.44
39.98	26.81	26.31	26.00	26.12	26.50	26.37	26.19	26.37	26.31	26.56	26.44	26.25	26.31	26.44
40.80	26.81	26.31	26.00	26.12	26.50	26.37	26.19	26.37	26.31	26.56	26.44	26.25	26.31	26.44
41.61	26.81	26.31	26.00	26.12	26.44	26.37	26.19	26.37	26.31	26.56	26.44	26.25	26.31	26.44
42.51	26.81	26.31	26.00	26.12	26.50	26.37	26.19	26.37	26.31	26.62	26.44	26.25	26.31	26.44
43.32	26.81	26.31	26.00	26.12	26.50	26.37	26.19	26.37	26.31	26.56	26.44	26.25	26.25	26.44
44.08	26.81	26.31	26.00	26.12	26.50	26.37	26.19	26.37	26.31	26.62	26.44	26.25	26.25	26.44
44.88	26.81	26.31	26.00	26.12	26.50	26.37	26.19	26.37	26.31	26.56	26.44	26.25	26.25	26.44
45.72	26.81	26.31	26.00	26.12	26.50	26.37	26.19	26.37	26.31	26.56	26.44	26.25	26.31	26.44
46.50	26.81	26.31	26.00	26.12	26.50	26.37	26.19	26.37	26.31	26.56	26.44	26.25	26.25	26.44
47.34	26.81	26.31	26.00	26.12	26.50	26.37	26.19	26.37	26.31	26.56	26.44	26.25	26.25	26.44
48.15	26.81	26.31	26.00	26.12	26.50	26.37	26.19	26.37	26.31	26.56	26.44	26.25	26.31	26.44
48.94	26.81	26.31	26.00	26.12	26.50	26.37	26.19	26.37	26.31	26.56	26.44	26.25	26.25	26.44
49.78	26.81	26.31	26.00	26.12	26.50	26.37	26.19	26.37	26.31	26.56	26.44	26.25	26.25	26.44
50.59	26.81	26.31	26.00	26.12	26.50	26.37	26.19	26.37	26.31	26.56	26.44	26.25	26.31	26.44
51.38	26.81	26.31	26.00	26.12	26.50	26.37	26.19	26.37	26.31	26.56	26.44	26.25	26.25	26.44
52.22	26.81	26.31	26.00	26.12	26.50	26.37	26.19	26.37	26.31	26.56	26.44	26.25	26.25	26.44
53.03	26.81	26.31	26.00	26.12	26.44	26.37	26.19	26.37	26.31	26.56	26.44	26.25	26.25	26.44
53.85	26.81	26.31	26.00	26.12	26.50	26.31	26.19	26.37	26.31	26.56	26.44	26.25	26.25	26.44
54.66	26.81	26.31	26.00	26.12	26.50	26.37	26.19	26.37	26.31	26.56	26.44	26.25	26.25	26.44
55.47	26.81	26.31	26.00	26.12	26.44	26.37	26.19	26.37	26.31	26.56	26.44	26.25	26.31	26.44
56.35	26.81	26.31	26.00	26.12	26.44	26.37	26.19	26.37	26.31	26.56	26.44	26.25	26.31	26.50
57.21	26.81	26.31	26.00	26.12	26.44	26.37	26.19	26.37	26.31	26.56	26.44	26.25	26.31	26.56
58.02	26.81	26.31	26.00	26.12	26.50	26.37	26.19	26.37	26.31	26.56	26.44	26.31	26.37	26.62
58.84	26.81	26.31	26.00	26.12	26.44	26.31	26.19	26.37	26.31	26.56	26.44	26.31	26.37	26.69
59.65	26.81	26.31	26.00	26.12	26.50	26.37	26.19	26.37	26.31	26.56	26.44	26.31	26.44	26.75
60.41	26.81	26.31	26.00	26.12	26.44	26.37	26.19	26.37	26.31	26.56	26.44	26.31	26.50	26.81
61.20	26.81	26.31	26.00	26.12	26.50	26.31	26.19	26.37	26.31	26.56	26.44	26.37	26.50	26.87
62.02	26.81	26.31	26.00	26.12	26.44	26.31	26.19	26.37	26.31	26.62	26.44	26.37	26.56	26.94
62.83	26.81	26.31	26.00	26.12	26.44	26.37	26.19	26.37	26.31	26.62	26.44	26.44	26.62	27.06
63.65	26.81	26.31	26.00	26.12	26.44	26.37	26.19	26.37	26.31	26.62	26.50	26.44	26.69	27.12
64.45	26.81	26.31	26.00	26.12	26.50	26.31	26.19	26.37	26.31	26.62	26.50	26.50	26.75	27.25
65.26	26.81	26.31	26.00	26.12	26.44	26.37	26.19	26.37	26.31	26.62	26.50	26.50	26.81	27.31
66.08	26.81	26.31	26.00	26.12	26.50	26.37	26.19	26.37	26.31	26.62	26.50	26.56	26.87	27.37
66.89	26.81	26.31	26.00	26.12	26.44	26.31	26.19	26.37	26.31	26.62	26.56	26.62	26.94	27.50
67.73	26.81	26.31	26.00	26.12	26.44	26.37	26.19	26.37	26.31	26.62	26.56	26.62	27.00	27.56
68.53	26.81	26.31	26.00	26.12	26.44	26.37	26.19	26.37	26.31	26.62	26.56	26.69	27.12	27.62
69.36	26.81	26.31	26.00	26.12	26.44	26.37	26.19	26.37	26.31	26.62	26.62	26.69	27.19	27.75
70.17	26.81	26.31	26.00	26.12	26.44	26.37	26.19	26.37	26.37	26.69	26.62	26.75	27.25	27.81
